artist_id,name,followers,artist_popularity,genre_1,genre_2,genre_3
7vX6N8aREigt6xclBZEu7n,Cardio Kazan,1603,4,,,
7vX3uLrq70Dw7oyExEqkB5,lucaisaiah,88,2,,,
7vvicoei9BbKpZix8qSeLg,Hamdi,36319,44,bassline,,
7vvHPY4Ks0c8diqPqJqD42,Nicky Mars,24,1,,,
7vUJCRmF1if4uhMp2V3tRP,Arman Cekin,45147,45,bass trap,,
7vtukebvL7Is8L5JvgTLDR,Siya,32773,28,lgbtq+ hip hop,trap queen,
7vtSUU3zpHeYJfX6BPNrJd,Briston Maroney,278172,58,nashville indie,pov: indie,
7vtnVU0zOWlN9R4OOz0IjC,BeatRunnaz,324,4,,,
7vrUrk9mrgD8h1grqYwh0C,Mafis MusiQ & Black Sa,3528,8,sgija,,
7vrrJ5YlL3I8XUrh1ktGJV,Anaal Nathrakh,104815,36,birmingham metal,black metal,british black metal
7vrAFOU1NbRB2xgakCp5Bh,BRAE JAY,40,11,,,
7vqrTO7GfzTkwI6R13lMxf,Büni Abi,7109,3,,,
7vQKRioljsFs0Sh8ryLYvn,Maria Karakusheva,2112,7,,,
7vPXrGlSGukcwpaPxUfKKR,Japan,222553,39,melancholia,new romantic,new wave
7vpUHceuwb7aRv8TA8eSlL,Lata James Allyn Coleman,25,0,,,
7vPgBLAH8puTwo3UEJsYNf,Ian Tsang,49,10,,,
7vmcCamWCEfwql32fGkVxd,Rob Durann,93,2,,,
7vlOm47gJiCojrkcw3tq1e,EBE Lil Ta,1073,6,,,
7vlM4bn4gPubcmntK8UBp0,Arc System Works,29187,54,,,
7vLinTZRSFBCY5gf4yyufz,Free Robin,1,1,,,
7vkiEK5D7Gf0z4M1Va0CXD,The Vines,351208,51,alternative rock,dance-punk,garage rock
7vK7W4m2DU8bj7upwd4qen,50/50 Twin,23354,24,dirty texas rap,houston rap,
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,39960695,79,electro house,,
7vJr6eA7kTh2iTyws6sIbm,Dane Maxwell,5599,25,,,
7vIqeUrMmLq6ULjRPZTKna,Brother Culture,48533,42,dub reggae,uk dub,
7vhWmMmmsd9R7dPMGuMG29,SARGASSO SEA,11,0,,,
7vHAcPVlEDksRsCfkez2CD,SRTW,28369,61,chill house,pop edm,
7vFIdjlk1tPniBpfYn0ShM,Sofia Andersson,27,22,instrumental lullaby,,
7vf3jj90AWBUccLAs4Twus,Michael J Tinker,317,5,,,
7vEYttoLJ6L1P8DCwqTwPh,胡松华,150,9,,,
7vBiVGMBXh20l8U3TaVbhJ,Nirvana Jazzy,106,0,,,
